name,id,visitor_history,coordinates
Acadia National Park,Q337396,"[{'year': '1920', 'visitors': 66500}, {'year': '1930', 'visitors': 154734}, {'year': '1940', 'visitors': 382084}, {'year': '1950', 'visitors': 485220}, {'year': '1960', 'visitors': 1638200}, {'year': '1970', 'visitors': 2776300}, {'year': '1980', 'visitors': 2779666}, {'year': '1990', 'visitors': 2339591}, {'year': '2000', 'visitors': 2469238}, {'year': '2010', 'visitors': 2504208}, {'year': '2016', 'visitors': 3303393}, {'year': '2017', 'visitors': 3509271}, {'year': '2018', 'visitors': 3537575}, {'year': '2019', 'visitors': 3437286}, {'year': '2020', 'visitors': 2669034}]","{'longitude': -68.216666666, 'latitude': 44.35}"
Arches National Park,Q223969,"[{'year': '1930', 'visitors': 400}, {'year': '1940', 'visitors': 2512}, {'year': '1950', 'visitors': 16257}, {'year': '1960', 'visitors': 71600}, {'year': '1970', 'visitors': 178500}, {'year': '1980', 'visitors': 290519}, {'year': '1990', 'visitors': 620719}, {'year': '2000', 'visitors': 786429}, {'year': '2010', 'visitors': 1014405}, {'year': '2016', 'visitors': 1585718}, {'year': '2017', 'visitors': 1539028}, {'year': '2018', 'visitors': 1663557}, {'year': '2019', 'visitors': 1659702}, {'year': '2020', 'visitors': 1000000}, {'year': '2020', 'visitors': 1238083}]","{'longitude': -109.54, 'latitude': 38.728055555}"
Badlands National Park,Q306216,"[{'year': '1940', 'visitors': 181993}, {'year': '1950', 'visitors': 447654}, {'year': '1960', 'visitors': 878600}, {'year': '1970', 'visitors': 1303100}, {'year': '1980', 'visitors': 952652}, {'year': '1990', 'visitors': 1326475}, {'year': '2000', 'visitors': 1105824}, {'year': '2007', 'visitors': 886654}, {'year': '2010', 'visitors': 977778}, {'year': '2019', 'visitors': 970998}, {'year': '2020', 'visitors': 916932}]","{'longitude': -102.5, 'latitude': 43.75}"
Big Bend National Park,Q1427197,"[{'year': '1950', 'visitors': 70325}, {'year': '1960', 'visitors': 75900}, {'year': '1970', 'visitors': 172600}, {'year': '1980', 'visitors': 174008}, {'year': '1990', 'visitors': 257378}, {'year': '2000', 'visitors': 262320}, {'year': '2010', 'visitors': 372330}, {'year': '2016', 'visitors': 388290}, {'year': '2017', 'visitors': 440276}, {'year': '2018', 'visitors': 440091}, {'year': '2019', 'visitors': 463832}, {'year': '2020', 'visitors': 393907}]","{'longitude': -103.25, 'latitude': 29.25}"
Biscayne National Park,Q866080,"[{'year': '1980', 'visitors': 248071}, {'year': '1990', 'visitors': 573376}, {'year': '2000', 'visitors': 393151}, {'year': '2010', 'visitors': 467612}, {'year': '2019', 'visitors': 708522}, {'year': '2020', 'visitors': 402770}]","{'longitude': -80.18096924, 'latitude': 25.50185493}"
Black Canyon of the Gunnison National Park,Q305880,"[{'year': '1940', 'visitors': 19307}, {'year': '1950', 'visitors': 26487}, {'year': '1960', 'visitors': 122500}, {'year': '1970', 'visitors': 249000}, {'year': '1980', 'visitors': 336119}, {'year': '1990', 'visitors': 275323}, {'year': '2000', 'visitors': 191506}, {'year': '2010', 'visitors': 176344}, {'year': '2016', 'visitors': 238018}, {'year': '2017', 'visitors': 307143}, {'year': '2018', 'visitors': 308962}, {'year': '2019', 'visitors': 432818}, {'year': '2020', 'visitors': 341620}]","{'longitude': -107.716666666, 'latitude': 38.566666666}"
Bryce Canyon National Park,Q219562,"[{'year': '1930', 'visitors': 35982}, {'year': '1940', 'visitors': 103362}, {'year': '1950', 'visitors': 212976}, {'year': '1960', 'visitors': 272000}, {'year': '1970', 'visitors': 345900}, {'year': '1980', 'visitors': 571541}, {'year': '1990', 'visitors': 862659}, {'year': '2000', 'visitors': 1099275}, {'year': '2010', 'visitors': 1285492}, {'year': '2018', 'visitors': 2679478}, {'year': '2019', 'visitors': 2594904}, {'year': '2020', 'visitors': 1464655}]","{'longitude': -112.17, 'latitude': 37.64}"
Canyonlands National Park,Q541856,"[{'year': '1970', 'visitors': 33400}, {'year': '1980', 'visitors': 56505}, {'year': '1990', 'visitors': 276831}, {'year': '2000', 'visitors': 401558}, {'year': '2010', 'visitors': 435908}, {'year': '2016', 'visitors': 776218}, {'year': '2017', 'visitors': 742271}, {'year': '2018', 'visitors': 739449}, {'year': '2019', 'visitors': 733996}, {'year': '2020', 'visitors': 493914}]","{'longitude': -109.76, 'latitude': 38.1669}"
Capitol Reef National Park,Q129902,"[{'year': '1940', 'visitors': 2000}, {'year': '1950', 'visitors': 3066}, {'year': '1960', 'visitors': 102500}, {'year': '1970', 'visitors': 225900}, {'year': '1980', 'visitors': 342788}, {'year': '1990', 'visitors': 562477}, {'year': '2000', 'visitors': 612656}, {'year': '2010', 'visitors': 662661}, {'year': '2016', 'visitors': 1064904}, {'year': '2017', 'visitors': 1150165}, {'year': '2018', 'visitors': 1227627}, {'year': '2019', 'visitors': 1226519}, {'year': '2020', 'visitors': 981038}]","{'longitude': -111.167, 'latitude': 38.2}"
Carlsbad Caverns National Park,Q273195,"[{'year': '1930', 'visitors': 90104}, {'year': '1940', 'visitors': 236653}, {'year': '1950', 'visitors': 467283}, {'year': '1960', 'visitors': 537000}, {'year': '1970', 'visitors': 712700}, {'year': '1980', 'visitors': 672963}, {'year': '1990', 'visitors': 747016}, {'year': '2000', 'visitors': 469303}, {'year': '2010', 'visitors': 428524}, {'year': '2017', 'visitors': 520026}, {'year': '2018', 'visitors': 465912}, {'year': '2019', 'visitors': 440691}, {'year': '2020', 'visitors': 183835}]","{'longitude': -104.443888888, 'latitude': 32.175277777}"
Channel Islands National Park,Q306193,"[{'year': '1970', 'visitors': 32000}, {'year': '1980', 'visitors': 104574}, {'year': '1990', 'visitors': 144083}, {'year': '2000', 'visitors': 482571}, {'year': '2010', 'visitors': 277515}, {'year': '2011', 'visitors': 242756}, {'year': '2012', 'visitors': 249594}, {'year': '2013', 'visitors': 212029}, {'year': '2014', 'visitors': 342161}, {'year': '2015', 'visitors': 324816}, {'year': '2016', 'visitors': 364807}, {'year': '2017', 'visitors': 383687}, {'year': '2018', 'visitors': 366250}, {'year': '2019', 'visitors': 409630}, {'year': '2020', 'visitors': 167290}, {'year': '2021', 'visitors': 319252}, {'year': '2022', 'visitors': 323245}]","{'longitude': -119.64, 'latitude': 33.66}"
Congaree National Park,Q175688,"[{'year': '1990', 'visitors': 23223}, {'year': '2000', 'visitors': 95619}, {'year': '2010', 'visitors': 121208}, {'year': '2012', 'visitors': 109685}, {'year': '2013', 'visitors': 120340}, {'year': '2014', 'visitors': 120122}, {'year': '2015', 'visitors': 87513}, {'year': '2016', 'visitors': 143843}, {'year': '2017', 'visitors': 159595}, {'year': '2018', 'visitors': 145929}, {'year': '2019', 'visitors': 159445}, {'year': '2020', 'visitors': 119306}]","{'longitude': -80.783333333, 'latitude': 33.783333333}"
Crater Lake National Park,Q239304,"[{'year': '1910', 'visitors': 5000}, {'year': '1920', 'visitors': 20135}, {'year': '1930', 'visitors': 157693}, {'year': '1940', 'visitors': 252482}, {'year': '1950', 'visitors': 310796}, {'year': '1960', 'visitors': 397700}, {'year': '1970', 'visitors': 535000}, {'year': '1980', 'visitors': 455143}, {'year': '1990', 'visitors': 384941}, {'year': '2000', 'visitors': 426883}, {'year': '2010', 'visitors': 448319}, {'year': '2018', 'visitors': 720659}, {'year': '2019', 'visitors': 704512}, {'year': '2020', 'visitors': 670500}]","{'longitude': -122.148055555, 'latitude': 42.911944444}"
Cuyahoga Valley National Park,Q152820,"[{'year': '1980', 'visitors': 563300}, {'year': '1990', 'visitors': 1200622}, {'year': '2000', 'visitors': 3324918}, {'year': '2010', 'visitors': 2492670}, {'year': '2015', 'visitors': 2284612}, {'year': '2016', 'visitors': 2423390}, {'year': '2017', 'visitors': 2226879}, {'year': '2018', 'visitors': 2096053}, {'year': '2019', 'visitors': 2237997}, {'year': '2020', 'visitors': 2755628}]","{'longitude': -81.549722222, 'latitude': 41.241666666}"
Death Valley National Park,Q242111,"[{'year': '1940', 'visitors': 80842}, {'year': '1950', 'visitors': 189045}, {'year': '1960', 'visitors': 355900}, {'year': '1970', 'visitors': 580500}, {'year': '1980', 'visitors': 618140}, {'year': '1990', 'visitors': 690965}, {'year': '2000', 'visitors': 1179094}, {'year': '2010', 'visitors': 984775}, {'year': '2011', 'visitors': 946867}, {'year': '2012', 'visitors': 984568}, {'year': '2013', 'visitors': 951972}, {'year': '2014', 'visitors': 1101312}, {'year': '2015', 'visitors': 1154843}, {'year': '2016', 'visitors': 1296283}, {'year': '2017', 'visitors': 1294827}, {'year': '2018', 'visitors': 1678660}, {'year': '2019', 'visitors': 1740945}, {'year': '2020', 'visitors': 820023}, {'year': '2021', 'visitors': 1146551}, {'year': '2022', 'visitors': 1128862}]","{'longitude': -117.09091, 'latitude': 36.49363}"
Denali National Park and Preserve,Q217136,"[{'year': '1930', 'visitors': 951}, {'year': '1940', 'visitors': 1201}, {'year': '1950', 'visitors': 6672}, {'year': '1960', 'visitors': 22500}, {'year': '1970', 'visitors': 46000}, {'year': '1980', 'visitors': 216361}, {'year': '1990', 'visitors': 546693}, {'year': '2000', 'visitors': 363983}, {'year': '2010', 'visitors': 378855}, {'year': '2018', 'visitors': 594660}, {'year': '2019', 'visitors': 601152}, {'year': '2020', 'visitors': 54850}]","{'longitude': -150.3, 'latitude': 63.2}"
Dry Tortugas National Park,Q1143655,"[{'year': '1940', 'visitors': 1141}, {'year': '1950', 'visitors': 7025}, {'year': '1960', 'visitors': 8900}, {'year': '1970', 'visitors': 12900}, {'year': '1980', 'visitors': 8644}, {'year': '1990', 'visitors': 19402}, {'year': '2000', 'visitors': 83704}, {'year': '2010', 'visitors': 53890}, {'year': '2018', 'visitors': 56810}, {'year': '2019', 'visitors': 79200}, {'year': '2020', 'visitors': 48543}]","{'longitude': -82.873333333, 'latitude': 24.628611111}"
Everglades National Park,Q274131,"[{'year': '1950', 'visitors': 123405}, {'year': '1960', 'visitors': 579200}, {'year': '1970', 'visitors': 1273500}, {'year': '1980', 'visitors': 744244}, {'year': '1990', 'visitors': 957925}, {'year': '2000', 'visitors': 995390}, {'year': '2010', 'visitors': 915538}, {'year': '2011', 'visitors': 934351}, {'year': '2016', 'visitors': 930907}, {'year': '2017', 'visitors': 1018557}, {'year': '2018', 'visitors': 597124}, {'year': '2019', 'visitors': 1118300}, {'year': '2020', 'visitors': 702319}]","{'longitude': -80.6875, 'latitude': 25.3125}"
Gates of the Arctic National Park and Preserve,Q605657,"[{'year': '1990', 'visitors': 1010}, {'year': '2000', 'visitors': 11278}, {'year': '2010', 'visitors': 10840}, {'year': '2018', 'visitors': 9591}, {'year': '2019', 'visitors': 10518}, {'year': '2020', 'visitors': 2872}]","{'longitude': -153.3, 'latitude': 67.7833}"
Gateway Arch National Park,Q45234,"[{'year': '1950', 'visitors': 27051}, {'year': '1960', 'visitors': 48500}, {'year': '1970', 'visitors': 1388600}, {'year': '1980', 'visitors': 1928825}, {'year': '1990', 'visitors': 2382612}, {'year': '2000', 'visitors': 3458956}, {'year': '2010', 'visitors': 2436110}, {'year': '2018', 'visitors': 2016180}, {'year': '2019', 'visitors': 2055309}, {'year': '2020', 'visitors': 486021}]","{'longitude': -90.185, 'latitude': 38.6246}"
Glacier Bay National Park and Preserve,Q261577,"[{'year': '1960', 'visitors': 900}, {'year': '1970', 'visitors': 29700}, {'year': '1980', 'visitors': 95005}, {'year': '1990', 'visitors': 186427}, {'year': '2000', 'visitors': 384684}, {'year': '2010', 'visitors': 444530}, {'year': '2018', 'visitors': 597915}, {'year': '2019', 'visitors': 672087}, {'year': '2020', 'visitors': 5748}]","{'longitude': -137.0, 'latitude': 58.7}"
Glacier National Park,Q373567,"[{'year': '1920', 'visitors': 22449}, {'year': '1930', 'visitors': 73776}, {'year': '1940', 'visitors': 177307}, {'year': '1950', 'visitors': 482298}, {'year': '1960', 'visitors': 724500}, {'year': '1970', 'visitors': 1241600}, {'year': '1980', 'visitors': 1474578}, {'year': '1990', 'visitors': 1986737}, {'year': '2000', 'visitors': 1728693}, {'year': '2010', 'visitors': 2200048}, {'year': '2018', 'visitors': 2965309}, {'year': '2019', 'visitors': 3049839}, {'year': '2020', 'visitors': 1698864}, {'year': '2021', 'visitors': 3081656}]","{'longitude': -113.8, 'latitude': 48.755}"
Grand Canyon National Park,Q220289,"[{'year': '1920', 'visitors': 67315}, {'year': '1925', 'visitors': 134053}, {'year': '1930', 'visitors': 172763}, {'year': '1935', 'visitors': 206018}, {'year': '1940', 'visitors': 371613}, {'year': '1945', 'visitors': 169960}, {'year': '1950', 'visitors': 665039}, {'year': '1955', 'visitors': 892400}, {'year': '1960', 'visitors': 1187700}, {'year': '1965', 'visitors': 1689200}, {'year': '1970', 'visitors': 2258200}, {'year': '1975', 'visitors': 2625100}, {'year': '1980', 'visitors': 2304973}, {'year': '1985', 'visitors': 2711529}, {'year': '1990', 'visitors': 3776685}, {'year': '1995', 'visitors': 4460228}, {'year': '2000', 'visitors': 4460228}, {'year': '2005', 'visitors': 4401522}, {'year': '2010', 'visitors': 4388386}, {'year': '2015', 'visitors': 5520736}, {'year': '2020', 'visitors': 2897098}]","{'longitude': -112.122, 'latitude': 36.0553}"
Grand Teton National Park,Q222695,"[{'year': '1930', 'visitors': 60000}, {'year': '1940', 'visitors': 103324}, {'year': '1950', 'visitors': 189286}, {'year': '1960', 'visitors': 1429900}, {'year': '1970', 'visitors': 3352500}, {'year': '1980', 'visitors': 2555627}, {'year': '1990', 'visitors': 1588253}, {'year': '2000', 'visitors': 2590624}, {'year': '2010', 'visitors': 2669374}, {'year': '2018', 'visitors': 3491151}, {'year': '2019', 'visitors': 3405614}, {'year': '2020', 'visitors': 3289638}]","{'longitude': -110.700833333, 'latitude': 43.833333333}"
Great Basin National Park,Q1137657,"[{'year': '1940', 'visitors': 4943}, {'year': '1950', 'visitors': 8350}, {'year': '1960', 'visitors': 20700}, {'year': '1970', 'visitors': 41200}, {'year': '1980', 'visitors': 33383}, {'year': '1990', 'visitors': 65026}, {'year': '2000', 'visitors': 81045}, {'year': '2010', 'visitors': 88870}, {'year': '2018', 'visitors': 153094}, {'year': '2019', 'visitors': 131802}, {'year': '2020', 'visitors': 120248}]","{'longitude': -114.2197, 'latitude': 39.0058}"
Great Sand Dunes National Park and Preserve,Q609097,"[{'year': '1940', 'visitors': 8419}, {'year': '1950', 'visitors': 19004}, {'year': '1960', 'visitors': 52700}, {'year': '1970', 'visitors': 205800}, {'year': '1980', 'visitors': 142427}, {'year': '1990', 'visitors': 272136}, {'year': '2000', 'visitors': 260789}, {'year': '2010', 'visitors': 283284}, {'year': '2018', 'visitors': 442905}, {'year': '2019', 'visitors': 527546}, {'year': '2020', 'visitors': 461532}]","{'longitude': -105.512222222, 'latitude': 37.732777777}"
Great Smoky Mountains National Park,Q464004,"[{'year': '1940', 'visitors': 860960}, {'year': '1950', 'visitors': 1843620}, {'year': '1960', 'visitors': 4528600}, {'year': '1970', 'visitors': 6778500}, {'year': '1980', 'visitors': 8440953}, {'year': '1990', 'visitors': 8151769}, {'year': '2000', 'visitors': 10175812}, {'year': '2010', 'visitors': 9463538}, {'year': '2016', 'visitors': 11312786}, {'year': '2020', 'visitors': 12095720}]","{'longitude': -83.425, 'latitude': 35.611111111}"
Guadalupe Mountains National Park,Q370501,"[{'year': '1980', 'visitors': 113825}, {'year': '1990', 'visitors': 192890}, {'year': '2000', 'visitors': 198762}, {'year': '2010', 'visitors': 192210}, {'year': '2017', 'visitors': 225257}, {'year': '2020', 'visitors': 151256}]","{'longitude': -104.866666666, 'latitude': 31.916666666}"
Haleakalā National Park,Q1137640,"[{'year': '1960', 'visitors': 62100}, {'year': '1970', 'visitors': 197400}, {'year': '1980', 'visitors': 560238}, {'year': '1990', 'visitors': 1260601}, {'year': '2000', 'visitors': 1620083}, {'year': '2010', 'visitors': 1105606}, {'year': '2018', 'visitors': 1044084}, {'year': '2019', 'visitors': 994394}, {'year': '2020', 'visitors': 319147}]","{'longitude': -156.15515, 'latitude': 20.7204}"
Hawaiʻi Volcanoes National Park,Q205952,"[{'year': '1930', 'visitors': 89578}, {'year': '1940', 'visitors': 287810}, {'year': '1950', 'visitors': 362245}, {'year': '1960', 'visitors': 709100}, {'year': '1970', 'visitors': 822300}, {'year': '1980', 'visitors': 1692338}, {'year': '1990', 'visitors': 1096816}, {'year': '2000', 'visitors': 1514636}, {'year': '2010', 'visitors': 1304667}, {'year': '2018', 'visitors': 1116891}, {'year': '2019', 'visitors': 1368376}, {'year': '2020', 'visitors': 589775}]","{'longitude': -155.12361, 'latitude': 19.40083}"
Hot Springs National Park,Q1143416,"[{'year': '1910', 'visitors': 120000}, {'year': '1920', 'visitors': 162850}, {'year': '1930', 'visitors': 167062}, {'year': '1940', 'visitors': 182583}, {'year': '1950', 'visitors': 294955}, {'year': '1960', 'visitors': 719100}, {'year': '1970', 'visitors': 2092400}, {'year': '1980', 'visitors': 1160588}, {'year': '1990', 'visitors': 1123175}, {'year': '2000', 'visitors': 1338156}, {'year': '2010', 'visitors': 1311807}, {'year': '2018', 'visitors': 1506887}, {'year': '2019', 'visitors': 1467153}, {'year': '2020', 'visitors': 1348215}]","{'longitude': -93.053611111, 'latitude': 34.513611111}"
Indiana Dunes National Park,Q6023179,"[{'year': '1980', 'visitors': 1222874}, {'year': '1990', 'visitors': 1919901}, {'year': '2000', 'visitors': 1820228}, {'year': '2010', 'visitors': 2150345}, {'year': '2018', 'visitors': 1756079}, {'year': '2019', 'visitors': 2134285}, {'year': '2020', 'visitors': 2293106}]","{'longitude': -87.108055555, 'latitude': 41.648055555}"
